Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,KAST,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Id,Unique Enum,Stage,Series,winner,rounds
Ethan,Kayo,"1.40
1.08
1.82","284
213
379","20
10
10","

11
8
3

","9
4
5","+9
+2
+7","86%
75%
100%","192
154
242","18%
18%
18%","3
1
2","3
2
1","0
-1
+1",NRG Esports,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1"
Demon1,Jett,"1.31
1.06
1.65","189
157
233","14
6
8","

9
8
1

","2
2
0","+5
-2
+7","71%
50%
100%","136
102
183","26%
24%
29%","4
2
2","2
2
0","+2
0
+2",NRG Esports,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1"
crashies,Sova,"1.00
0.87
1.19","165
156
178","13
6
7","

11
9
2

","8
4
4","+2
-3
+5","81%
75%
89%","102
103
102","21%
24%
18%","1
1
0","1
1
0","0
0
0",NRG Esports,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1"
Victor,Killjoy,"1.00
1.02
0.97","227
216
244","17
9
8","

14
9
5

","2
1
1","+3
0
+3","81%
67%
100%","146
142
152","22%
22%
23%","4
2
2","2
1
1","+2
+1
+1",NRG Esports,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1"
Marved,Omen,"0.81
0.79
0.84","118
113
127","8
4
4","

14
8
6

","14
6
8","-6
-4
-2","81%
83%
78%","74
63
90","14%
17%
11%","0
0
0","1
0
1","-1
0
-1",NRG Esports,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1"
kon4n,Sova,"1.09
0.59
1.47","186
93
257","12
3
9","

13
7
6

","5
1
4","-1
-4
+3","76%
56%
92%","119
51
170","12%
50%
9%","1
0
1","0
0
0","+1
0
+1",FURIA,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0"
Khalil,Killjoy,"1.03
0.90
1.13","166
194
145","14
6
8","

14
8
6

","0
0
0","0
-2
+2","76%
67%
83%","119
151
95","25%
24%
26%","0
0
0","1
0
1","-1
0
-1",FURIA,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0"
mwzera,Jett,"0.99
0.69
1.22","171
148
189","13
5
8","

14
8
6

","3
0
3","-1
-3
+2","76%
67%
83%","101
93
107","18%
19%
17%","5
1
4","4
3
1","+1
-2
+3",FURIA,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0"
liazzi,Omen,"0.78
1.01
0.60","130
202
77","8
5
3","

14
7
7

","12
7
5","-6
-2
-4","81%
100%
67%","81
121
51","43%
54%
30%","1
1
0","2
1
1","-1
0
-1",FURIA,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0"
havoc,Kayo,"0.70
0.28
1.02","185
83
262","12
2
10","

17
8
9

","9
1
8","-5
-6
+1","57%
56%
58%","121
65
164","27%
25%
28%","2
1
1","5
2
3","-3
-1
-2",FURIA,Ascent,2,295605,2956052,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0"
wippie,Viper,"1.48
1.54
1.41","253
250
257","23
12
11","

11
5
6

","4
1
3","+12
+7
+5","88%
92%
83%","151
163
139","25%
20%
33%","2
0
2","1
1
0","+1
-1
+2",Cloud9,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1"
jakee,Brimstone,"1.34
1.64
1.03","236
297
176","20
13
7","

14
7
7

","11
8
3","+6
+6
0","71%
67%
75%","150
186
114","27%
24%
33%","1
0
1","1
1
0","0
-1
+1",Cloud9,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1"
OXY,Yoru,"1.19
1.27
1.11","261
285
238","21
12
9","

18
10
8

","5
2
3","+3
+2
+1","63%
67%
58%","173
180
165","40%
41%
39%","6
3
3","2
2
0","+4
+1
+3",Cloud9,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1"
Xeppaa,Raze,"1.03
0.81
1.24","223
170
277","20
7
13","

17
9
8

","4
3
1","+3
-2
+5","79%
83%
75%","134
111
156","25%
25%
24%","6
3
3","3
1
2","+3
+2
+1",Cloud9,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1"
vanity,Skye,"1.00
1.20
0.80","125
135
116","9
5
4","

13
6
7

","15
9
6","-4
-1
-3","83%
92%
75%","84
91
77","23%
18%
28%","0
0
0","2
1
1","-2
-1
-1",Cloud9,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1"
RgLMeister,Brimstone,"1.16
1.06
1.25","200
164
237","17
8
9","

14
6
8

","13
7
6","+3
+2
+1","83%
75%
92%","135
116
155","23%
20%
26%","2
0
2","1
0
1","+1
0
+1",MIBR,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0"
frz,Viper,"0.81
1.03
0.59","176
164
188","16
9
7","

18
9
9

","1
0
1","-2
0
-2","58%
58%
58%","106
103
109","29%
33%
25%","1
1
0","0
0
0","+1
+1
0",MIBR,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0"
artzin,Jett,"0.79
1.19
0.39","192
273
112","16
12
4","

19
8
11

","4
2
2","-3
+4
-7","67%
75%
58%","131
177
84","23%
20%
29%","3
1
2","2
2
0","+1
-1
+2",MIBR,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0"
mazin,Skye,"0.76
0.86
0.66","158
167
150","13
6
7","

20
10
10

","13
9
4","-7
-4
-3","75%
75%
75%","104
109
98","36%
26%
60%","0
0
0","1
0
1","-1
0
-1",MIBR,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0"
jzz,Raze,"0.52
0.22
0.82","162
98
227","11
3
8","

22
12
10

","6
4
2","-11
-9
-2","58%
50%
67%","123
73
172","29%
42%
25%","3
1
2","11
7
4","-8
-6
-2",MIBR,Bind,1,295606,2956061,Group Stage,Opening (A),Cloud9,"0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0"
OXY,Raze,"1.03
0.45
1.47","265
120
375","20
4
16","

18
8
10

","2
1
1","+2
-4
+6","62%
56%
67%","166
63
244","35%
71%
29%","5
2
3","6
4
2","-1
-2
+1",Cloud9,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0"
Xeppaa,Skye,"1.02
1.16
0.91","199
259
155","14
8
6","

15
7
8

","6
3
3","-1
+1
-2","76%
100%
58%","128
156
107","39%
56%
25%","0
0
0","3
0
3","-3
0
-3",Cloud9,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0"
vanity,Viper,"0.96
0.83
1.06","200
184
212","15
6
9","

16
8
8

","2
0
2","-1
-2
+1","57%
56%
58%","119
107
128","21%
25%
19%","0
0
0","5
2
3","-5
-2
-3",Cloud9,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0"
wippie,Killjoy,"0.85
0.35
1.22","163
134
186","10
3
7","

13
8
5

","6
2
4","-3
-5
+2","71%
67%
75%","109
103
113","16%
16%
16%","1
0
1","1
1
0","0
-1
+1",Cloud9,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0"
jakee,Astra,"0.77
0.72
0.81","147
160
137","9
4
5","

15
7
8

","8
2
6","-6
-3
-3","76%
67%
83%","103
112
96","16%
19%
14%","0
0
0","0
0
0","0
0
0",Cloud9,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0"
jzz,Raze,"1.24
1.05
1.50","264
275
251","21
12
9","

14
10
4

","5
2
3","+7
+2
+5","90%
83%
100%","185
175
199","31%
33%
28%","4
4
0","1
1
0","+3
+3
0",MIBR,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1"
RgLMeister,Astra,"1.12
1.10
1.15","185
185
186","15
8
7","

12
7
5

","7
4
3","+3
+1
+2","76%
75%
78%","114
120
105","23%
21%
25%","0
0
0","0
0
0","0
0
0",MIBR,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1"
mazin,Skye,"1.08
1.05
1.12","173
217
116","14
10
4","

13
9
4

","3
2
1","+1
+1
0","67%
58%
78%","118
136
95","40%
40%
40%","1
1
0","0
0
0","+1
+1
0",MIBR,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1"
artzin,Jett,"0.90
0.46
1.48","196
97
328","14
4
10","

16
9
7

","3
0
3","-2
-5
+3","81%
75%
89%","121
62
200","14%
33%
8%","8
2
6","2
1
1","+6
+1
+5",MIBR,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1"
frz,Viper,"0.87
0.74
1.04","157
123
205","13
5
8","

13
8
5

","2
1
1","0
-3
+3","62%
58%
67%","106
90
128","35%
31%
38%","2
1
1","3
2
1","-1
-1
0",MIBR,Split,2,295606,2956062,Group Stage,Opening (A),Cloud9,"1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1"
vanity,Gekko,"1.27
1.03
1.54","197
171
228","18
8
10","

12
7
5

","6
1
5","+6
+1
+5","78%
67%
91%","133
112
155","28%
29%
27%","1
1
0","3
2
1","-2
-1
-1",Cloud9,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1"
Xeppaa,Fade,"1.11
1.15
1.06","215
176
258","18
8
10","

18
8
10

","10
4
6","0
0
0","96%
92%
100%","131
125
137","21%
30%
15%","2
1
1","2
0
2","0
+1
-1",Cloud9,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1"
OXY,Raze,"1.02
0.42
1.67","301
215
396","24
7
17","

20
12
8

","2
1
1","+4
-5
+9","74%
58%
91%","197
151
247","35%
24%
45%","6
4
2","5
2
3","+1
+2
-1",Cloud9,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1"
wippie,Killjoy,"1.02
0.91
1.13","156
171
140","11
6
5","

13
8
5

","7
4
3","-2
-2
0","87%
75%
100%","123
127
119","16%
20%
13%","2
1
1","1
1
0","+1
0
+1",Cloud9,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1"
jakee,Omen,"0.85
0.66
1.06","122
115
131","8
4
4","

15
10
5

","14
5
9","-7
-6
-1","83%
75%
91%","80
71
91","14%
15%
14%","0
0
0","1
0
1","-1
0
-1",Cloud9,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1"
jzz,Skye,"1.17
0.77
1.55","222
124
312","18
4
14","

17
9
8

","6
3
3","+1
-5
+6","83%
73%
92%","138
92
181","27%
12%
40%","4
0
4","0
0
0","+4
0
+4",MIBR,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0"
mazin,Viper,"1.00
0.80
1.19","202
199
206","16
9
7","

16
9
7

","11
1
10","0
0
0","70%
73%
67%","132
128
135","16%
43%
7%","4
3
1","2
1
1","+2
+2
0",MIBR,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0"
artzin,Raze,"0.99
0.59
1.35","220
172
265","17
6
11","

16
10
6

","2
1
1","+1
-4
+5","78%
73%
83%","147
102
189","19%
10%
30%","1
1
0","3
2
1","-2
-1
-1",MIBR,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0"
RgLMeister,Omen,"0.99
0.83
1.14","181
233
135","14
8
6","

13
8
5

","10
4
6","+1
0
+1","91%
82%
100%","119
151
90","41%
44%
36%","0
0
0","3
1
2","-3
-1
-2",MIBR,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0"
frz,Killjoy,"0.87
0.74
0.99","161
181
143","13
6
7","

17
10
7

","9
4
5","-4
-4
0","70%
64%
75%","115
128
103","11%
13%
8%","3
3
0","3
0
3","0
+3
-3",MIBR,Lotus,3,295606,2956063,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0"
Quick,Raze,"1.17
0.59
1.76","261
163
361","22
6
16","

16
10
6

","5
1
4","+6
-4
+10","71%
42%
100%","173
103
243","20%
7%
28%","5
0
5","6
6
0","-1
-6
+5",LOUD,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1"
cauanzin,Breach,"1.10
1.07
1.14","212
276
149","18
13
5","

15
9
6

","5
1
4","+3
+4
-1","79%
67%
92%","126
162
90","33%
45%
16%","2
0
2","0
0
0","+2
0
+2",LOUD,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1"
tuyz,Omen,"1.10
0.94
1.26","177
201
154","13
7
6","

14
9
5

","18
7
11","-1
-2
+1","71%
67%
75%","110
136
84","35%
32%
42%","0
0
0","1
1
0","-1
-1
0",LOUD,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1"
saadhak,Skye,"1.09
0.40
1.77","226
80
372","19
2
17","

20
11
9

","10
5
5","-1
-9
+8","71%
50%
92%","139
53
226","19%
5%
25%","1
0
1","4
2
2","-3
-2
-1",LOUD,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1"
Less,Viper,"0.96
0.88
1.03","157
181
134","14
9
5","

13
8
5

","9
3
6","+1
+1
0","63%
50%
75%","100
114
86","42%
55%
33%","2
1
1","3
2
1","-1
-1
0",LOUD,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1"
zekken,Raze,"1.23
0.83
1.63","257
183
332","22
7
15","

17
10
7

","4
3
1","+5
-3
+8","79%
67%
92%","163
122
203","16%
14%
19%","7
2
5","4
3
1","+3
-1
+4",Sentinels,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0"
TenZ,Omen,"1.13
0.83
1.44","234
210
259","19
8
11","

16
10
6

","6
4
2","+3
-2
+5","67%
67%
67%","151
128
173","40%
35%
42%","3
0
3","0
0
0","+3
0
+3",Sentinels,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0"
johnqt,Cypher,"0.95
0.74
1.16","170
177
164","15
8
7","

14
9
5

","3
1
2","+1
-1
+2","71%
67%
75%","107
104
110","17%
47%
5%","2
1
1","3
3
0","-1
-2
+1",Sentinels,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0"
Zellsis,Viper,"0.81
0.43
1.18","204
135
274","15
4
11","

19
10
9

","10
3
7","-4
-6
+2","79%
67%
92%","125
94
156","28%
25%
30%","1
0
1","1
1
0","0
-1
+1",Sentinels,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0"
Sacy,Skye,"0.63
0.58
0.67","105
123
89","7
4
3","

20
11
9

","8
3
5","-13
-7
-6","63%
58%
67%","69
85
54","23%
24%
23%","1
0
1","2
2
0","-1
-2
+1",Sentinels,Split,1,295610,2956101,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0"
cauanzin,Breach,"1.26
0.88
1.72","212
194
234","18
9
9","

13
9
4

","10
3
7","+5
0
+5","82%
75%
90%","128
111
149","33%
37%
30%","3
2
1","3
3
0","0
-1
+1",LOUD,Ascent,2,295610,2956102,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1"
Quick,Phoenix,"1.16
0.76
1.64","207
173
249","17
7
10","

13
9
4

","6
2
4","+4
-2
+6","73%
58%
90%","129
101
163","23%
18%
28%","4
2
2","1
1
0","+3
+1
+2",LOUD,Ascent,2,295610,2956102,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1"
Less,Viper,"1.09
0.82
1.41","208
136
295","15
4
11","

16
9
7

","11
3
8","-1
-5
+4","82%
75%
90%","151
104
208","28%
18%
36%","3
1
2","1
0
1","+2
+1
+1",LOUD,Ascent,2,295610,2956102,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1"
saadhak,Kayo,"1.02
0.39
1.78","170
78
280","11
2
9","

14
10
4

","12
5
7","-3
-8
+5","77%
58%
100%","111
60
173","22%
14%
27%","2
0
2","3
2
1","-1
-2
+1",LOUD,Ascent,2,295610,2956102,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1"
tuyz,Omen,"0.70
0.52
0.91","89
96
82","7
4
3","

14
10
4

","11
6
5","-7
-6
-1","77%
75%
80%","57
67
45","25%
44%
9%","0
0
0","2
1
1","-2
-1
-1",LOUD,Ascent,2,295610,2956102,Group Stage,Opening (B),LOUD,"1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1"
Sacy,Sova,"1.50
0.56
2.29","331
122
505","24
4
20","

14
9
5

","9
2
7","+10
-5
+15","82%
60%
100%","224
83
342","26%
13%
29%","3
0
3","2
1
1","+1
-1
+2",Sentinels,Ascent,2,295610,2956102,Group Stage,Opening (B),LOUD,"0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0"
